point,budget_gb,n_promoted,weight_gb,mean_kld,top1_pct,ppl_ratio
p00_base_allIQ3,0,0,16.116,3.403752,30.235,22.644829
p_1.0gb,1.0,22,17.085,2.129100,42.353,6.557927
p99_full_Q4K,4.09,96,20.209,0.029860,93.314,1.004479
p_0.5gb,0.5,11,16.600,2.690677,36.235,11.297305
p_1.5gb,1.5,34,17.613,1.386932,54.882,3.294528
p_2.0gb,2.0,45,18.098,0.896559,63.588,2.092644
p_3.0gb,3.0,68,19.111,0.395092,76.333,1.323744
