label,probes,avg_ts,min_ts,max_ts,load_cmd
baseline,3,81.27,81.23,81.29,
dgemma-pinned12-nice10,3,73.77,69.43,78.21,taskset -c 0-11 nice -n 10 python3 eval/memory/tag_bench.py --arm dgemma --steps 16 --threads 12 --items methodology --note contention-load
